Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/28  08:00:00,137419902.80483502,137419902.80483502,223477934.95372605 
 01/28  09:00:00,152607540.13689837,152607540.13689837,202909854.2419517 
 01/28  10:00:00,166884669.98692405,166884669.98692408,183672536.0275916 
 01/28  11:00:00,196851673.25347817,196851673.25347823,171374462.1511243 
 01/28  12:00:00,217471442.74995786,217471442.74995786,159077703.39125752 
 01/28  13:00:00,201990434.37528604,201990434.37528607,140354703.76721114 
 01/28  14:00:00,189253467.73957047,189253467.7395705,132317428.78992867 
 01/28  15:00:00,176261134.00480714,176261134.00480717,115163041.83381242 
 01/28  16:00:00,176124037.50595397,176124037.50595397,115159886.21316656 
 01/28  17:00:00,193324212.50751168,193324212.50751168,126266707.83131875 
 01/28  18:00:00,205642257.78392875,205642257.78392875,145389621.3072812 
 01/28  19:00:00,198084740.13557494,198084740.13557494,148665550.23091865 
 01/28  20:00:00,187720576.50292057,187720576.5029206,155091928.85747698 
 01/28  21:00:00,173406184.27343154,173406184.27343157,138590667.4927197 
 01/28  22:00:00,163339479.91711056,163339479.91711056,143048814.8505762 
 01/28  23:00:00,103814120.14920054,103814120.14920054,126282386.65779409 
 01/28  24:00:00,64180772.498242766,64180772.498242766,108665102.27448921 
 01/29  01:00:00,54092782.74969599,54092782.74969599,64490954.70291359 
 01/29  02:00:00,23211666.471335005,23211666.471335005,9928834.732080001 
 01/29  03:00:00,28621915.021934625,28621915.021934625,13187284.09812 
 01/29  04:00:00,22944822.458354585,22944822.458354585,9928834.732080001 
 01/29  05:00:00,50541163.77217385,50541163.77217385,19704182.8302 
 01/29  06:00:00,102992617.18106362,102992617.18106362,139481074.608958 
 01/29  07:00:00,119014550.17236125,119014550.17236127,138895527.22625047 
 01/29  08:00:00,137374452.6993982,137374452.6993982,199359631.58856112 
 01/29  09:00:00,152178050.43123287,152178050.43123287,187762758.79070416 
 01/29  10:00:00,166542522.53919506,166542522.5391951,161892139.8407538 
 01/29  11:00:00,196782317.8748533,196782317.8748533,175583694.56594312 
 01/29  12:00:00,217696360.05358633,217696360.05358636,168523286.55720872 
 01/29  13:00:00,202088813.87908807,202088813.8790881,140370499.76975787 
 01/29  14:00:00,189102941.44376275,189102941.44376278,132343043.69210115 
 01/29  15:00:00,176248612.67574978,176248612.6757498,122788656.95296478 
 01/29  16:00:00,176622849.90997857,176622849.90997857,136644351.21607798 
 01/29  17:00:00,194163952.9426627,194163952.94266272,149588430.33578444 
 01/29  18:00:00,206097549.57853228,206097549.5785323,166360590.83819744 
 01/29  19:00:00,198157373.09430104,198157373.09430107,156655474.64285457 
 01/29  20:00:00,188409052.98148787,188409052.98148787,166572055.51421332 
 01/29  21:00:00,174133981.27581242,174133981.27581245,159052543.51559418 
 01/29  22:00:00,164234247.28075278,164234247.28075278,165087885.44746077 
 01/29  23:00:00,104268702.63533638,104268702.63533638,150479077.29890606 
 01/29  24:00:00,64900288.35784245,64900288.35784245,142400193.7250847 
 01/30  01:00:00,54209780.54867651,54209780.54867651,76179160.55020685 
 01/30  02:00:00,23003611.29579839,23003611.29579839,9928834.732080001 
 01/30  03:00:00,28587103.456810616,28587103.456810616,13187284.09812 
 01/30  04:00:00,23096437.93703045,23096437.93703045,9928834.732080001 
 01/30  05:00:00,49877046.84851537,49877046.84851537,19704182.8302 
 01/30  06:00:00,103809686.52731878,103809686.52731878,180689796.29582992 
 01/30  07:00:00,119554578.15738314,119554578.15738314,174071413.83509213 
 01/30  08:00:00,136889182.42010188,136889182.42010188,238297376.5507254 
 01/30  09:00:00,153295303.82974312,153295303.82974312,239233369.09764877 
 01/30  10:00:00,167748327.56885722,167748327.56885725,218590134.20087498 
 01/30  11:00:00,198098543.4880632,198098543.4880632,223875537.99757284 
 01/30  12:00:00,218786037.0149296,218786037.01492965,216448624.0341727 
 01/30  13:00:00,202642635.46090952,202642635.46090955,168571474.38635594 
